id,date,value,method,abc6,abc6Value,abc9,abc9Value,abc12,abc12Value,xyz6,xyz9,xyz12
SafeRest,2021-11-01,209543,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-12-01,140347,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-01-01,147534,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-02-01,138971,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-03-01,165210,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-04-01,153924,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-05-01,172615,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-06-01,181543,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-07-01,212359,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-08-01,208672,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-09-01,175969,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-10-01,172528,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-11-01,177917,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2022-12-01,162950,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-01-01,177938,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-02-01,155846,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-03-01,172485,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-04-01,159988,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-05-01,178701,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-06-01,187276,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-07-01,218368,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2023-08-01,213965,iCUE1,C,955852,C,1532958,A,1975989,x,x,x
ThisWorx,2019-02-01,8164,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-03-01,9435,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-04-01,8975,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-05-01,12736,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-06-01,12341,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-07-01,10236,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-08-01,7776,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-09-01,9156,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-10-01,9565,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-11-01,19202,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2019-12-01,45895,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-01-01,19719,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-02-01,57896,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-03-01,5120,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-04-01,8248,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-05-01,41422,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-06-01,59100,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-07-01,41986,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-08-01,36554,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-09-01,37287,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-10-01,328020,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-11-01,102985,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2020-12-01,283591,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2021-01-01,45514,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2021-02-01,34575,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2021-03-01,134727,,C,667044,C,942574,A,1220621,y,y,y
ThisWorx,2021-04-01,71119,,C,667044,C,942574,A,1220621,y,y,y
